newsId,Text
1,Previously Deported Sex Offender Arrested Again
2,Here’s a rundown of what you WON’T get in AT&T’s new blockbuster $35 streaming TV package
33794,Ireland Reconsiders Its Constitutional Ban on Abortion - The New York Times
6,Twitter Suspends Women’s Rights Group After Criticizing Saudi Arabia - Breitbart
10,"Sean Spicer: Media ’Cheering On Democrats,’ Disrespects President-elect Trump - Breitbart"
11,4 maps of past empires that can tell us about the future
1036,Total Vetting Fail: Left-Wing Snowden Fan Girl Reality Winner Gets Access to Our NSA Secrets
2571,House Oversight Testimony: ’America Has Spoken-We Want the Wall Built Right Away’ - Breitbart
527,"In Pics: One Year On, France Mourns Victims of the Paris Attacks"
16,Pope on Easter: Use ‘Weapons of Love’ to Combat Brutal Violence of Muslim Terror
17,"Pelosi: GOP Has ’Anti-Woman Agenda, LGBT Agenda’ - Breitbart"
19,Trump Campaign Defends ‘American Hero’ Chris Crane from Marco Rubio’s Screed - Breitbart
21,Off-duty New Jersey cop accused of killing wife
25,Hillary Clinton is hinting at her strategy to beat Trump — but she has to avoid falling into his ’trap’
539,UK Parliament approves Theresa May’s snap vote
541,Justice Dept. Says Judge in Immigration Case Is Out of Bounds - The New York Times
32,"UK prime minister raises terror threat level to ’critical,’ warns further attacks could be ’imminent’"
34,WATCH: Anti-Brexit Protesters March In London Demanding Referendum Be Overturned
36,WATCH: University Official Threatens to Call Police on Reporter at Milo Protest Because Students Need ’Safe Space’ - Breitbart
1573,Japan’s largest warship to train with US Navy
551,Why Michael Flynn likely won’t face charges under the Logan Act
39,"Trump: Elizabeth Warren ’Sellout,’ ’Turncoat’ for Backing Hillary - Breitbart"
3114,Judge Denies Gawker’s Bid for New Trial in Hulk Hogan Sex Tape Case - Breitbart
1580,The wealthiest Americans have a new attitude about homebuying — and it has led to a crisis in the luxury market
47,The Nation’s Zoos Know You Need to See Cute Animals Right Now - The New York Times
1584,"Lyft reportedly tried to sell itself to Uber and several other companies, but failed"
1073,Doomsday Clock moved closer to midnight
50,Deadly Berlin Christmas Market Episode Is Latest in Europe - The New York Times
1079,"Attacker in Nice Plotted for Months and Had Accomplices, French Prosecutor Says - The New York Times"
1080,Trump’s plan to jumpstart US manufacturing could backfire over a major flaw
62,J. Christian Adams: Protecting Clinton Is Latest DOJ Scandal
1089,Breaking Sad! Bryan Cranston Will ’Absolutely’ Stump For Hillary - Breitbart
2115,Why the ’mother of all bombs’ and why now?
2628,Miley Cyrus: ’Never Hillary’ Sanders Supporters ’F*cking Crazy’
1097,"Mojo Panel Criticizes ’Hamilton’ Cast, Audience for Pence Treatment: I Thought ’Flyover Space’ Was ’Close-Minded’ - Breitbart"
586,David Adjaye on Designing a Museum That Speaks a Different Language - The New York Times
587,"US, Russia talk Syria coordination despite Pentagon concerns"
1610,"Trump, Clinton angle for national security advantage"
589,Travel ban hits hospitals hard
590,’There’s a lot more shoes to drop from this centipede’: McCain predicts further revelations about Trump’s ties to Russia
1101,Gmail Users Claim Trump Campaign Emails Are Being Sent to Spam Folder - Breitbart
592,15 products you probably thought were healthier than they actually are
593,’God wants you to die’: Dhaka’s long night of terror
594,"I Planned My Wedding in 5 Days. You Could, Too. - The New York Times"
1617,"Dan Le Batard rips ESPN for policy on covering Trump’s immigration ban, calls out Sage Steele for controversial Instagram"
3147,It’s too early to start thinking of Tesla as more than just a car company
597,"At Aska, a Nordic Chef’s Vision Bears Fruit (and Lichens) - The New York Times"
595,"MSNBC’s Brzezinski: Clinton Set Up Server for ’Self-Serving Reason,’ May Have Been to ’Widen the Footprint’ of Foundation - Breitbart"
95,JonBenet Ramsey Murder Fast Facts
608,Trump Fires Back at ’No-Talent’ Stephen Colbert: ’His Show Was Dying’ Before He Started Attacking Me
1127,Texas baby found dead after nine hours in hot car
104,Gold has finally hit a wall
110,Cotton on GOP Health Care: Not ’Feasible’ to Release a Bill Written in Secret and Expect to Pass in 18 Days - Breitbart
111,Feminists Freak Out Over Italy’s Efforts to Raise Birthrate
1136,Sweden’s Integration Minister Admits Misrepresenting Rape Stats
1653,Focus-group pollster finds that some former Trump supporters have soured on the candidate
2683,French election: Is it Emmanuel Macron’s to lose?
2174,"Explosions Hit Brussels Airport, One Killed - Belgian Media"
4226,Dan Rather: Media Must Publicly Shame Donald Trump Supporters - Breitbart
648,Flashback: Media Lovefest over Barack Obama’s First 100 Days
2700,5 good reasons to start a business before 40
141,Prison time for some Atlanta school educators in cheating scandal
2706,Donald Trump: I Won’t Let Politicians Disarm the American People
1682,Hundreds of Islamic State Volunteers Have Returned to Britain
150,Turkey Threatens to Open Migrant ’Land Passage’ to Europe After Row With Dutch
2710,Jorge Ramos to DREAMers: You Are the ’Rosa Parks of This Time’
153,Kellogg Layoffs Now Hitting Florida
2716,Video Shows Moments Surrounding Ambush of Houston-area Deputy
161,Conor McGregor Fights Eddie Alvarez for LW Strap at First-Ever UFC Card in NYC - Breitbart
165,There is a big problem with the government’s plan to stop the drug-overdose epidemic
1704,Trump to speak with Putin on Tuesday
1193,"His Predecessor Gone, Gambia’s New President Finally Comes Home - The New York Times"
1196,Thunder’s Steven Adams Apologizes for ’Quick Little Monkeys’ Remark - Breitbart
1197,President Trump: Obamacare Repeal May Take Until 2018 - Breitbart
1198,Citizens with AR-15s Stand Guard Outside Texas Police Departments
1200,’Let Me Be Clear:’ Paul Ryan Refuses 2016 Republican Nomination Race - Breitbart
1206,Exclusive: Breitbart/Gravis Poll: Hispanics Most Likely to Say U.S. Has No Obligation to Take in Refugees - Breitbart
1208,Vatican Now Accepts Payment in Blood to Access Museums
185,Ernst: Republican Congress to lead U.S. in new direction
1210,Donald Trump Crushes ‘Little Marco’ in His Home State of Florida with Embarrassing Defeat for Rubio - Breitbart
1721,Trump has a shocking conflict of interest with China
1213,The tide is turning against everything that made Victoria’s Secret popular
1214,"Cancer patient wins a year of free pizza, gives it to food bank"
58559,British Gov Tells Travelers ‘Human Rights’ Are At Risk the US
7361,"Donald Trump: ’Wow, did you just hear Bill Clinton’s statement on’ Obamacare?"
1219,Venezuela: Protesters Burn Down Hugo Chavez’s Childhood Home
1220,5 tips for people stressed about this miserable presidential election
1221,Ex-Ivy League admissions officers dissect an essay that got a teen into 5 Ivies and Stanford
1222,13 things you must do in Maine
1732,Benghazi scandal: How did we get here?
1225,Trump Gives Oval Office New Look with Gold Drapes
2762,"Facebook’s Zuckerberg, Bucking Tide, Takes Public Stand Against Isolationism - The New York Times"
208,Watch: Pearl Jam Dedicates Song to ‘LGBT Soldiers’ in Battle Against Trans Bathroom Laws - Breitbart
3793,"Conway: Had This Been a Race for the Popular Vote, Trump Would Have Won That Too - Breitbart"
4306,15 US ski resorts that are actually affordable
1240,***Live Updates*** Dems Hold Sunday Evening Debate in South Carolina - Breitbart
6874,Veep debate in 140 characters (and more)
733,Implanted Brain Chip Allows Paralyzed Man to Control Hand Again - Breitbart
1246,Activists Urging Obamacare Supporters to Mail Ashes of Dead People to Congress
223,"Rep. Jeff Duncan: McCaul Is the Leader Trump Needs to Secure Border, Enforce Immigration Laws - Breitbart"
736,Egyptian Christians Cancel Easter Festivities in Mourning Over Palm Sunday Massacre
5349,"Mobs in Durban, South Africa, attack immigrants"
231,Debate sensation Ken Bone says his now famous red sweater was actually his ’plan B’
2791,A Senior Russian Envoy’s Take on Relations With the United States: ‘Pretty Bad’ - The New York Times
6377,Chicago torture video: No bail for 4 suspects
1258,"In Blue California, Democrats On Verge Of Supermajorities"
1259,"Pro-Life Leader: ‘What Do You Believe, Mr. Trump? No One Knows’ - Breitbart"
2797,More die in bathtubs than in terrorism. It’s still worth spending billions to fight it
750,Bill Ackman just broke an unwritten rule of the business
1265,Israel To Tax Foreign Companies’ Online Activities
